# Workload	Elasped time K40-980	Speedup K40-980
3593	909000.66	5.517048388
3093	771727	6.498412814
2593	615901	8.142543406
2093	454219	11.04093097
1593	342182	14.65594516
1093	335514	14.94721718
593	424690	11.80861482
93	521741	9.61205009
0	518000.48	9.681459419
