# Workload	Elasped time K40-980-980	Speedup K40-980-980
3593	909000.66	5.517048388
3093	784125	6.395664755
2593	628020	7.985415474
2093	467246	10.73310553
1593	235253	21.31747789
1093	239098	20.97466573
593	197838	25.3490261
93	230320	21.77405621
0	243660	20.58196104
