# Workload	Elasped time K40-980	Speedup K40-980
610	11108	7.041861721
549	22625	3.457281768
488	21361	3.6618604
427	20321	3.849269229
366	19235	4.066597349
305	18362	4.259939004
244	17477	4.475653716
183	16945	4.616169962
122	17522	4.464159343
61	18113	4.318500524
0	5063	15.44953585
