# Workload	Elasped time K980-980	Speedup980-980
12000	12896	90.38546836
11000	11869	98.20633583
10000	10968	106.2737965
9000	9959	117.040968
8000	9131	127.6542547
7000	8173	142.6172764
6000	7088	164.4485045
5000	7931	146.9689825
4000	8819	132.1704275
3000	9684	120.3646221
2000	10629	109.6632797
1000	11630	100.2245056
0	12708	91.72261568
